verge_ids,https_links,verge_articles,verge_authors,article_dates
23320405,https://www.theverge.com/23320405/apple-iphone-14-pro-max-always-on-display-screen-feature,"The iPhone 14 Pro’s always-on display, explained",Cameron Faulkner,0
23320607,https://www.theverge.com/23320607/iphone-14-plus-pro-max-preorder-buy-price-release-date-apple,How to preorder the iPhone 14,Cameron Faulkner,0
23343336,https://www.theverge.com/2022/9/8/23343336/apple-tim-cook-imessage-blue-green-bubbles-texting-rcs,Tim Cook revealed the real reason Apple won’t fix green bubbles,Jay Peters,2022/9/8
23342840,https://www.theverge.com/2022/9/9/23342840/logitech-webcam-logi-capture-tune-g-hub-software-m2-m1-mac,Logitech’s webcam software is a mess,Cameron Faulkner,2022/9/9
23342908,https://www.theverge.com/2022/9/8/23342908/apple-satellite-sos-globalstar-business-ast-lynk-spacex,Apple’s Emergency SOS link puts it in the satellite fight with SpaceX and more,Becca Farsace,2022/9/8
23343755,https://www.theverge.com/2022/9/8/23343755/black-adam-new-trailer-dwayne-johnson-hero,New Black Adam trailer hints he could end up as a hero after all,Mitchell Clark,2022/9/8
23342981,https://www.theverge.com/2022/9/9/23342981/united-airlines-eve-air-mobililty-investment-taxi-evtol,"United Airlines invests $15 million in electric aviation startup, orders 200 air taxis",Jay Peters,2022/9/9
23344081,https://www.theverge.com/23344081/fujifilm-xh2-xh2s-mirrorless-camera-xf50mm-gf2035mm-lens-hands-on-impressions,Hands-on with Fujifilm’s new 40.2-megapixel X-H2 camera,Andrew J. Hawkins,0
23323757,https://www.theverge.com/23323757/apple-airpods-pro-new-second-gen-preorder-buy-price-release-date,How to preorder new AirPods Pro,Andrew J. Hawkins,0
23342402,https://www.theverge.com/2022/9/8/23342402/apple-vs-garmin-watch-user-interface,Will the Apple Watch Ultra make Garmin the next Nokia?,Antonio G. Di Benedetto,2022/9/8
23342614,https://www.theverge.com/2022/9/8/23342614/asus-rog-6-gaming-phone-preorder-north-america,Asus’ ROG 6 Android gaming phones are available for preorder in North America,Alice Newcome-Beill,2022/9/8
23344147,https://www.theverge.com/2022/9/9/23344147/android-phone-call-noise-cancelation-beta,Google is working on ‘clear calling’ for Android phone calls,Thomas Ricker,2022/9/9
23343752,https://www.theverge.com/2022/9/8/23343752/apple-watch-ultra-repair-price-battery-replacement,Apple Watch Ultra repairs could be ultra-expensive without AppleCare,Alice Newcome-Beill,2022/9/8
23322044,https://www.theverge.com/23322044/apple-watch-series-7-vs-8-pro-se-comparison-price-specs,Here’s how the new Apple Watches compare to each other on paper,Thomas Ricker,0
23343550,https://www.theverge.com/2022/9/8/23343550/apple-iphone-14-watch-8-price-increase-uk-eu-japan-china,Apple did raise prices with the iPhone 14 and Watch Series 8 — just not in the US or China,Mitchell Clark,2022/9/8
23343358,https://www.theverge.com/2022/9/8/23343358/microsoft-taskbar-windows-11-2-in-1-tablet,Microsoft is testing its tablet-friendly taskbar again in Windows 11,Antonio G. Di Benedetto,2022/9/8
23341046,https://www.theverge.com/23341046/apple-iphone-14-plus-pro-max-notch-event-announcements-watch-8-se-ultra-airpods-pro,Apple’s iPhone 14 event: the 9 biggest announcements,Mitchell Clark,0
23319085,https://www.theverge.com/23319085/iphone-14-vs-13-plus-pro-max-mini-comparison-specs-price-apple,How the iPhone 14 and 14 Plus compare to the Pro models — and the iPhone 13,Jasmine Hicks,0
23343316,https://www.theverge.com/2022/9/8/23343316/ea-battlefield-narrative-campaign-ridgeline-games-marcus-lehto,EA’s working on a new ‘narrative campaign’ for Battlefield,Emma Roth,2022/9/8
23340894,https://www.theverge.com/2022/9/8/23340894/netflix-lucky-luna-platform-game-iphone-android,Netflix’s latest game is a fresh take on platformers,Sheena Vasani,2022/9/8
23320934,https://www.theverge.com/2022/9/8/23320934/sony-playstation-5-ps5-console-restock-public-queue-availability-inventory-check,You can currently get a PlayStation 5 bundle from Sony without standing in line,Jay Peters,2022/9/8
23342873,https://www.theverge.com/2022/9/8/23342873/overwatch-2-new-hero-battle-pass-progression-kiriko,Overwatch 2’s new heroes won’t be free,Andrew Webster,2022/9/8
23342074,https://www.theverge.com/2022/9/8/23342074/fujifilm-xh2-mirrorless-camera-xf56-gf2035-lens-price-specs-availability,Fujifilm’s new X-H2 finally pushes its APS-C camera system to higher resolution,Sheena Vasani,2022/9/8
23342903,https://www.theverge.com/2022/9/8/23342903/nest-hub-max-quick-phrases-hey-google,Skip ‘Hey Google’ with the Nest Hub Max’s new Quick Phrases,Ash Parrish,2022/9/8
23342701,https://www.theverge.com/2022/9/8/23342701/nasa-artemis-possible-launch-late-september,NASA eyes late September for another Artemis I launch attempt,Antonio G. Di Benedetto,2022/9/8
23342804,https://www.theverge.com/2022/9/8/23342804/withings-price-increase-expensive-health-smart-scales-watch,Some Withings products are about to get more expensive,Jennifer Pattison Tuohy,2022/9/8
